Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2452,"LACTOSE (INDIA) LTD.,",INE058I01013,LACTOSE,90.21,,,,,90.21,Small Cap
2453,CHANDRA BHAGAT PHARMA LIMITED,INE07QQ01016,CBPL,89.98,,,,,89.98,Small Cap
2454,IND-SWIFT LTD.,INE788B01028,INDSWFTLTD,89.83,INDSWFTLTD,89.5682,,,89.6991,Small Cap
2455,KCD INDUSTRIES INDIA LIMITED,INE185U01035,KCDGROUP,89.1863391623125,,,,,89.1863391623125,Small Cap
2456,PHARMAIDS PHARMACEUTICALS LTD.,INE117D01018,PHARMAID,88.64,,,,,88.64,Small Cap
2457,ARCHIES LTD.,INE731A01020,ARCHIES,88.69,ARCHIES,88.5663,,,88.62815,Small Cap
2458,GUJARAT STATE FINANCIAL CORPORATION,INE944A01011,GUJSTATFIN,88.51,,,,,88.51,Small Cap
2459,"BCC FUBA INDIA LTD.,",INE788D01016,BCCFUBA,88.41,,,,,88.41,Small Cap
2460,MYSORE PAPER MILLS LIMITED,INE924F01012,MYSPAPE,88.22,,,,,88.22,Small Cap
2461,RELICAB CABLE MANUFACTURING LIMITED,INE773T01014,RELICAB,88.15,,,,,88.15,Small Cap
2462,AVANCE TECHNOLOGIES LTD.,INE758A01072,AVANCE,88.14,,,,,88.14,Small Cap
2463,JMD VENTURES LIMITED,INE047E01031,JMDVL,87.94,,,,,87.94,Small Cap
2464,SUPER TANNERY LIMITED,INE460D01038,SUPTANERY,87.93,,,,,87.93,Small Cap
